trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-80.90429250195533,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-187.7911167072354,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-157.44666042987342,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-144.67361531915012,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-75.65855707870053,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-39.094630563962,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-170.3503773659995,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-243.4923262643866,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-54.366382938871666,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-51.83352490672948,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-66.92540238078453,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-66.6149390035538,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-27.76255370689955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,13,-5.47257737587371,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,3,-161.82970441004332,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,5,-61.36957280877256,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,2,-91.33942996110265,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-50.42869843921368,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-86.74467455100672,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-27.081094259653437,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-53.68268328816644,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,14,-72.87369020655508,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",35,0,-102.87876112813059,"{0: 30, 1: 1, 2: 1, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-113.25884588980588,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,8,-30.619334679721376,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-58.94863445582085,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,9,27.02116024161439,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-17.291425178825126,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,23.67157071283356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,15,12.142454261159298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
