trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-113.20671920552823,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.25}",20,0,-44.83834935297824,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.1111111111111111}",25,0,-72.4762635106368,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.0625}",35,17,-14.63926927966354,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.002, 'e': 0.04}",20,0,-44.30694003807023,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.027777777777777776}",25,0,-46.711231504688776,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.02040816326530612}",25,0,-177.63489413021392,"{0: 15, 1: 0, 2: 4, 3: 4, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.015625}",20,1,-65.76223144418513,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.002, 'e': 0.012345679012345678}",20,0,-152.4697109454312,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.01}",20,0,15.764819697143112,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.002, 'e': 0.008264462809917356}",25,0,-43.928470652795504,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.006944444444444444}",25,0,-22.270304107291285,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.005917159763313609}",20,7,-12.443097013927218,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.002, 'e': 0.00510204081632653}",20,0,15.540932622362792,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.0044444444444444444}",20,14,-74.59893852984752,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.002, 'e': 0.00390625}",25,18,-30.480223064025118,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.002, 'e': 0.0034602076124567475}",25,0,-26.684506692424335,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.0030864197530864196}",20,0,-45.23814081159766,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.002770083102493075}",20,0,-4.716312600227758,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.0025}",35,23,-14.717703293984819,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-2.585962566437339,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,4,-63.371315603065014,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",30,0,-8.699847911323918,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,1,-70.31470819391112,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,6,-36.73706754883662,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-101.27483295435411,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-63.38649593429879,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-78.94525317419776,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,4.84826906364076,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-61.22731854481529,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
