trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-61,-365.4946622532792,"{0: 54, 1: 10, 2: 12, 3: 6, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-17,-158.2535463043795,"{0: 27, 1: 2, 2: 11, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-19,-217.66177715258652,"{0: 21, 1: 7, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,-100,-779.2021829687704,"{0: 70, 1: 13, 2: 31, 3: 7, 4: 9}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-876.584141736811,"{0: 67, 1: 13, 2: 31, 3: 8, 4: 11}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-13,-245.61322591315957,"{0: 24, 1: 5, 2: 8, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-54,-436.43656344424284,"{0: 39, 1: 13, 2: 14, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-663.6816663603352,"{0: 73, 1: 11, 2: 21, 3: 5, 4: 10}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-710.9915096599424,"{0: 67, 1: 15, 2: 25, 3: 2, 4: 11}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,3,-153.57299711403644,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-871.3786845903668,"{0: 69, 1: 20, 2: 15, 3: 6, 4: 15}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-619.0476656760321,"{0: 68, 1: 17, 2: 22, 3: 5, 4: 8}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,6,-64.81727135972804,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-609.8377072185414,"{0: 74, 1: 10, 2: 23, 3: 4, 4: 9}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-53.68980841993159,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,-27,-311.4566932659965,"{0: 34, 1: 6, 2: 11, 3: 1, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-32,-188.84321088944253,"{0: 30, 1: 12, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-694.7259661977226,"{0: 67, 1: 13, 2: 25, 3: 6, 4: 9}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-492.41420181051467,"{0: 82, 1: 10, 2: 21, 3: 6, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-92,-602.9822697380253,"{0: 57, 1: 24, 2: 18, 3: 7, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,5,-113.59557948503213,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,-12,-219.8888234330588,"{0: 26, 1: 5, 2: 4, 3: 4, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,15,2.2729298742529993,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,-82,-562.8097538150781,"{0: 63, 1: 14, 2: 19, 3: 2, 4: 9}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-14,-157.31715387308992,"{0: 22, 1: 7, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-40,-218.61749700425972,"{0: 45, 1: 6, 2: 17, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,12,-123.86918690404079,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",35,-100,-884.983585152823,"{0: 82, 1: 14, 2: 19, 3: 3, 4: 17}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-2,-140.39034833719435,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-691.2193243771977,"{0: 65, 1: 19, 2: 24, 3: 2, 4: 10}",0
